Algorithm,Counter,Size,Cumulative Latency (us),Sd
-1,2,1048576,70.98,0
-1,3,1048576,141.3,0
-1,4,1048576,212.61,0
-1,5,1048576,282.08000000000004,0
-1,6,1048576,351.23,0
-1,7,1048576,420.95000000000005,0
-1,8,1048576,489.99000000000007,0
-1,9,1048576,558.8900000000001,0
-1,10,1048576,627.2,0
-1,11,1048576,695.3800000000001,0
-1,12,1048576,772.5400000000001,0
-1,13,1048576,843.8800000000001,0
-1,14,1048576,914.6700000000001,0
-1,15,1048576,984.3800000000001,0
-1,16,1048576,1055.65,0
-1,17,1048576,1125.19,0
-1,18,1048576,1196.42,0
-1,19,1048576,1266.01,0
-1,20,1048576,1336.59,0
-1,21,1048576,1406.8,0
-1,22,1048576,1476.98,0
-1,23,1048576,1546.68,0
-1,24,1048576,1618.38,0
