Repetition,Processes,Threads,Size,Time
1,1,1,10000000,1.5579
2,1,1,10000000,1.51666
3,1,1,10000000,1.52269
4,1,1,10000000,1.55727
5,1,1,10000000,1.51501
1,2,1,10000000,1.88996
2,2,1,10000000,1.83921
3,2,1,10000000,1.85897
4,2,1,10000000,1.89178
5,2,1,10000000,1.89344
1,4,16,10000000,3.05313
2,4,16,10000000,3.00821
3,4,16,10000000,3.43948
4,4,16,10000000,3.45985
5,4,16,10000000,3.44972
1,8,16,10000000,7.80633
2,8,16,10000000,2.53776
3,8,16,10000000,3.75958
4,8,16,10000000,2.56263
5,8,16,10000000,4.0164
1,16,16,10000000,2.18747
2,16,16,10000000,1.87828
3,16,16,10000000,2.0829
4,16,16,10000000,2.13893
5,16,16,10000000,2.08989
1,32,16,10000000,2.0385
2,32,16,10000000,2.01771
3,32,16,10000000,3.00148
4,32,16,10000000,1.97557
5,32,16,10000000,1.9933
1,40,16,10000000,2.2296
2,40,16,10000000,2.1355
3,40,16,10000000,2.08568
4,40,16,10000000,2.1695
5,40,16,10000000,2.02733
1,48,16,10000000,1.99153
2,48,16,10000000,1.97786
3,48,16,10000000,2.0366
4,48,16,10000000,2.0852
5,48,16,10000000,2.01287
1,56,16,10000000,1.98072
2,56,16,10000000,1.94042
3,56,16,10000000,2.14122
4,56,16,10000000,1.96804
5,56,16,10000000,1.97989
1,64,16,10000000,2.02475
2,64,16,10000000,2.01767
3,64,16,10000000,2.17711
4,64,16,10000000,2.04027
5,64,16,10000000,2.04727
1,72,16,10000000,2.27434
2,72,16,10000000,2.32499
3,72,16,10000000,2.34898
4,72,16,10000000,2.32546
5,72,16,10000000,2.26633
1,80,16,10000000,2.23095
2,80,16,10000000,2.19936
3,80,16,10000000,2.20793
4,80,16,10000000,2.25113
5,80,16,10000000,2.30107
1,88,16,10000000,2.27072
2,88,16,10000000,2.23683
3,88,16,10000000,2.23827
4,88,16,10000000,2.20544
5,88,16,10000000,2.27965
1,96,16,10000000,2.27696
2,96,16,10000000,2.22014
3,96,16,10000000,2.27442
4,96,16,10000000,2.24064
5,96,16,10000000,2.21876
1,104,16,10000000,2.32217
2,104,16,10000000,2.27533
3,104,16,10000000,2.33193
4,104,16,10000000,2.31577
5,104,16,10000000,2.26524
1,112,16,10000000,2.3972
2,112,16,10000000,2.23307
3,112,16,10000000,2.33073
4,112,16,10000000,2.36068
5,112,16,10000000,2.39058
1,120,16,10000000,2.39139
2,120,16,10000000,2.42436
3,120,16,10000000,2.45232
4,120,16,10000000,2.32164
5,120,16,10000000,2.42379
1,128,16,10000000,2.53322
2,128,16,10000000,2.60229
3,128,16,10000000,2.45169
4,128,16,10000000,2.32501
5,128,16,10000000,2.62911
