Algorithm,Numprocs,Size,Avg Latency(us) mean,Avg Latency(us) sd
0,2,2,0.2,0
0,2,4,0.21,0
0,2,8,0.215,0.005
0,2,16,0.21,0
0,4,2,0.55,0.01
0,4,4,0.56,0
0,4,8,0.555,0.015
0,4,16,0.52,0.01
0,8,2,0.9,0
0,8,4,0.92,0.03
0,8,8,0.925,0.015
0,8,16,0.96,0
0,16,2,1.88,0.04
0,16,4,1.89,0.02
0,16,8,1.87,0.03
0,16,16,1.865,0.025
0,32,2,2.51,0.1
0,32,4,2.47,0.12
0,32,8,2.455,0.105
0,32,16,2.395,0.125
1,2,2,0.185,0.005
1,2,4,0.195,0.005
1,2,8,0.195,0.005
1,2,16,0.195,0.005
1,4,2,0.345,0.005
1,4,4,0.325,0.005
1,4,8,0.315,0.005
1,4,16,0.355,0.005
1,8,2,1.22,0.08
1,8,4,1.235,0.095
1,8,8,1.23,0.07
1,8,16,1.235,0.075
1,16,2,2.42,0
1,16,4,2.44,0
1,16,8,2.44,0
1,16,16,2.43,0.01
1,32,2,3.84,0.05
1,32,4,3.795,0.095
1,32,8,4,0.36
1,32,16,3.725,0.115
